Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV2410	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
ASV2411	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Alitiscatomonas	Alitiscatomonas_aceti(RS_GCF_025567195_1
ASV2412	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Otoolea	Otoolea_saccharolyticum_A(RS_GCF_020736365_1
ASV2413	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	HGM12789	HGM12789_sp900766585(GB_GCA_900766585_1
ASV2414	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_sp003057745(RS_GCF_003057745_1
ASV2415	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia_sp000308055(RS_GCF_000308055_1
ASV2416	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Scatomorpha	Scatomorpha_sp900752445(GB_GCA_900752445_1
ASV2417	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium_prausnitzii_I(RS_GCF_003287495_1
ASV2418	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Youxingia	Youxingia_wuxianensis(RS_GCF_014385085_1
ASV2419	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	HGM12789	HGM12789_sp900766585(GB_GCA_900766585_1
ASV2420	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	NA	NA
ASV2421	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_thetaiotaomicron(RS_GCF_000011065_1
ASV2422	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-269	CAG-269_sp928721565(GB_GCA_928721565_1
ASV2423	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter_A	Lawsonibacter_A_hominis(RS_GCF_014287895_1
ASV2424	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-269	CAG-269_sp928721565(GB_GCA_928721565_1
ASV2425	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA
ASV2426	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	Aristaeella	NA
ASV2427	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV2428	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter_excrementavium(GB_GCA_019118505_1
ASV2429	Bacteria	Bacillota_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	URXU01	URXU01_sp900545025(GB_GCA_900545025_1
ASV2430	Bacteria	Bacillota_A	Clostridia	Lachnospirales	CAG-274	Tyzzerella	NA
ASV2431	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	NA
ASV2432	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_thetaiotaomicron(RS_GCF_000011065_1
ASV2433	Bacteria	Bacillota_A	Clostridia	Lachnospirales	CAG-274	Tyzzerella	NA
ASV2434	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_congonensis(RS_GCF_900130125_1
ASV2435	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	NA
ASV2436	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
ASV2437	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA
ASV2438	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister_invisus(RS_GCF_000160055_1
ASV2439	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_rogosae(RS_GCF_002959775_1
ASV2440	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_salyersiae(RS_GCF_000381365_1
ASV2441	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	Ruminococcus_C_callidus(RS_GCF_000468015_1
ASV2442	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	NA
ASV2443	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis(RS_GCF_000012845_1
ASV2444	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter_sp019418625(GB_GCA_019418625_1
ASV2445	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UBA1820	Merdimorpha	Merdimorpha_sp003150615(GB_GCA_003150615_1
ASV2446	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UBA1820	Merdimorpha	Merdimorpha_sp003150615(GB_GCA_003150615_1
ASV2447	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Feifaniaceae	Feifania	Feifania_hominis(RS_GCF_014384765_1
ASV2448	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum_ammoniilyticum(RS_GCF_025567315_1
ASV2449	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania_massiliensis_A(RS_GCF_022440805_1
ASV2450	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	NA
ASV2451	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
ASV2452	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio_piger_A(RS_GCF_900116045_1
ASV2453	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum_hominis(RS_GCF_014288055_1
ASV2454	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_shahii(RS_GCF_025145845_1
ASV2455	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis(RS_GCF_000012845_1
ASV2456	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV2457	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	NA	NA
ASV2458	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Anthropogastromicrobium	Anthropogastromicrobium_aceti(RS_GCF_025567095_1
ASV2459	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Alitiscatomonas	Alitiscatomonas_aceti(RS_GCF_025567195_1
ASV2460	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_AP	NA
ASV2461	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA4285	UBA4285_sp022769005(GB_GCA_022769005_1
ASV2462	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis(RS_GCF_000012845_1
ASV2463	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes_amylophilus(RS_GCF_025567365_1
ASV2464	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	Aristaeella	Aristaeella_sp900322155(GB_GCA_017569305_1
ASV2465	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
ASV2466	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	NA
ASV2467	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_caccae(RS_GCF_002222615_2
ASV2468	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_caccae(RS_GCF_002222615_2
ASV2469	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis(RS_GCF_000012845_1
ASV2470	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Hornefia	Hornefia_sp938045615(GB_GCA_938045615_1
ASV2471	Bacteria	NA	NA	NA	NA	NA	NA
ASV2472	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_electrica(RS_GCF_006711645_1
ASV2473	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UBA2883	UBA2883_sp002481545(GB_GCA_002481545_1
ASV2474	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_electrica(RS_GCF_006711645_1
ASV2475	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus_mirabilis(RS_GCF_000160755_1
ASV2476	Bacteria	Bacillota_A	Clostridia	Lachnospirales	CAG-274	Tyzzerella	NA
ASV2477	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA
ASV2478	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter_torques(RS_GCF_000153925_1
ASV2479	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella_rara(RS_GCF_001275135_1
ASV2480	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter_A	Dysosmobacter_A_hominis(RS_GCF_014334055_1
ASV2481	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia_rubneri(RS_GCF_009755265_1
ASV2482	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA
ASV2483	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
ASV2484	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_onderdonkii(RS_GCF_025145285_1
ASV2485	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_zhangwenhongii(RS_GCF_009193325_2
ASV2486	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UBA1820	Merdimorpha	Merdimorpha_sp003150615(GB_GCA_003150615_1
ASV2487	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_sp900540715(RS_GCF_015550595_1
ASV2488	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_sp900540715(RS_GCF_015550595_1
ASV2489	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Coprobacillaceae	Coprobacillus	Coprobacillus_cateniformis(RS_GCF_009767585_1
ASV2490	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	NA
ASV2491	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	NA
ASV2492	Bacteria	NA	NA	NA	NA	NA	NA
ASV2493	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA
ASV2494	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Pauljensenia	NA
ASV2495	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	RUG11247	RUG11247_sp023444095(GB_GCA_023444095_1
ASV2496	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium_prausnitzii(RS_GCF_003324185_1
ASV2497	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	Eubacterium_F_xylanophilum(RS_GCF_000518685_1
ASV2498	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
ASV2499	Bacteria	Bacillota_A	Clostridia	Oscillospirales	NA	NA	NA
ASV2500	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium_prausnitzii(RS_GCF_003324185_1
ASV2501	Bacteria	NA	NA	NA	NA	NA	NA
ASV2502	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	CAG-433	CAG-433_sp947624565(GB_GCA_947624565_1
ASV2503	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Lentihominibacter	Lentihominibacter_faecis(RS_GCF_014306095_1
ASV2504	Bacteria	Bacillota_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium_faecium(RS_GCF_003269275_1
ASV2505	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis(RS_GCF_000012845_1
ASV2506	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis(RS_GCF_000012845_1
ASV2507	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	Sutterella_faecalis(RS_GCF_006337085_1
ASV2508	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
ASV2509	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter_sp900545895(RS_GCF_016899775_1
ASV2510	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	Sutterella_faecalis(RS_GCF_006337085_1
ASV2511	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
ASV2512	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	NA
ASV2513	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV2514	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_salyersiae(RS_GCF_000381365_1
ASV2515	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_communis(RS_GCF_006542665_1
ASV2516	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_salyersiae(RS_GCF_000381365_1
ASV2517	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_massiliensis(RS_GCF_000382445_1
ASV2518	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Scatomorpha	Scatomorpha_sp900752445(GB_GCA_900752445_1
ASV2519	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_quasivariicola(RS_GCF_002269255_1
ASV2520	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_vulgatus(RS_GCF_000012825_1
ASV2521	Bacteria	Bacillota_A	Clostridia	Christensenellales	Pumilibacteraceae	Protoclostridium	Protoclostridium_sp944362615(GB_GCA_944362615_1
ASV2522	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_vulgatus(RS_GCF_000012825_1
ASV2523	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	HGM12789	HGM12789_sp900766585(GB_GCA_900766585_1
ASV2524	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas_faecalis(RS_GCF_003991565_1
ASV2525	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	NA
ASV2526	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_intestinalis(RS_GCF_000172175_1
ASV2527	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis(RS_GCF_000012845_1
ASV2528	Bacteria	Bacillota_A	Clostridia	Christensenellales	Christensenellaceae	NA	NA
ASV2529	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UBA2883	UBA2883_sp002481545(GB_GCA_002481545_1
ASV2530	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Hafnia	NA
ASV2531	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Hafnia	NA
ASV2532	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	NA
ASV2533	Bacteria	NA	NA	NA	NA	NA	NA
ASV2534	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosynbacteraceae	Nanosynbacter	Nanosynbacter_sp938038145(GB_GCA_938038145_1
ASV2535	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Otoolea	Otoolea_sp027698105(GB_GCA_027698105_1
ASV2536	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella_rara(RS_GCF_001275135_1
ASV2537	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	NA	NA
ASV2538	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter_sp900545895(RS_GCF_016899775_1
ASV2539	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Hominimerdicola	Hominimerdicola_aceti(RS_GCF_025567495_1
ASV2540	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_neonatale(RS_GCF_001458595_1
ASV2541	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum_soehngenii(RS_GCF_900209925_1
ASV2542	Bacteria	NA	NA	NA	NA	NA	NA
ASV2543	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV2544	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Caproiciproducens	NA
ASV2545	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena_caecimuris(RS_GCF_004341945_1
ASV2546	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis(RS_GCF_000012845_1
ASV2547	Bacteria	Pseudomonadota	Alphaproteobacteria	RF32	CAG-239	CAG-267	CAG-267_sp949297665(GB_GCA_949297665_1
ASV2548	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173_sp001689685(GB_GCA_910575615_1
ASV2549	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas_sp900545585(GB_GCA_900545585_1
ASV2550	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA
ASV2551	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
ASV2552	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA
ASV2553	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas_sp900545585(GB_GCA_900545585_1
ASV2554	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium_prausnitzii(RS_GCF_003324185_1
ASV2555	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis(RS_GCF_000012845_1
ASV2556	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	Sutterella_faecalis(RS_GCF_006337085_1
ASV2557	Bacteria	Bacillota_A	Clostridia	Christensenellales	NA	NA	NA
ASV2558	Bacteria	NA	NA	NA	NA	NA	NA
ASV2559	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	Faecalimonas_umbilicata(RS_GCF_004346095_1
ASV2560	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Coprobacillaceae	Thomasclavelia	Thomasclavelia_ramosa(RS_GCF_014131695_1
ASV2561	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	NA
ASV2562	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	Faecalimonas_umbilicata(RS_GCF_004346095_1
ASV2563	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis(RS_GCF_000012845_1
ASV2564	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Bianqueaceae	Bianquea	Bianquea_renquensis(RS_GCF_014384895_1
ASV2565	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-238	CAG-238_sp900542245(GB_GCA_900542245_1
ASV2566	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Papillibacter	Papillibacter_cinnamivorans(RS_GCF_900176335_1
ASV2567	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Huintestinicola	Huintestinicola_butyrica(RS_GCF_025567215_1
ASV2568	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter_sp900545895(RS_GCF_016899775_1
ASV2569	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter_faecis(RS_GCF_001406815_1
ASV2570	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Scandinavium	Scandinavium_goeteborgense(RS_GCF_003935895_2
ASV2571	Bacteria	Bacillota_A	Clostridia	Oscillospirales	CAG-272	NA	NA
ASV2572	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Scatenecus	Scatenecus_sp944325605(GB_GCA_944325605_1
ASV2573	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	Angelakisella_sp013316495(GB_GCA_013316495_1
ASV2574	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAKXIK01	CAKXIK01_sp029008595(GB_GCA_029008595_1
ASV2575	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Robinsoniella	Robinsoniella_sp900540475(GB_GCA_900540475_1
ASV2576	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola_A	Phocaeicola_A_sp900291465(RS_GCF_900291465_1
ASV2577	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	NA
ASV2578	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UBA2883	UBA2883_sp002481545(GB_GCA_002481545_1
ASV2579	Bacteria	Bacillota_A	Clostridia	Christensenellales	UMGS416	Parachristensenella	Parachristensenella_sp900542005(GB_GCA_900542005_1
ASV2580	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	NA	NA
ASV2581	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Coprobacteraceae	Coprobacter	Coprobacter_secundus(GB_GCA_000803105_1
ASV2582	Bacteria	Bacillota_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	URXU01	URXU01_sp900545025(GB_GCA_900545025_1
ASV2583	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus_mirabilis(RS_GCF_000160755_1
ASV2584	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lientehia	Lientehia_sp030053595(RS_GCF_030053595_1
ASV2585	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	NA
ASV2586	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	NA
ASV2587	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	NA
ASV2588	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Anthropogastromicrobium	Anthropogastromicrobium_aceti(RS_GCF_025567095_1
ASV2589	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus_ruminis(RS_GCF_900113455_1
ASV2590	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
ASV2591	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus_lindneri(RS_GCF_002907375_1
ASV2592	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_tobetsuensis(RS_GCF_001078375_1
ASV2593	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter_welbionis(RS_GCF_005121165_3
ASV2594	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Gallintestinimicrobium	Gallintestinimicrobium_propionicum(RS_GCF_025567525_1
ASV2595	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	NA
ASV2596	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA
ASV2597	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania_massiliensis(RS_GCF_000327285_1
ASV2598	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	NA
ASV2599	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1623	UMGS1623_sp902492895(GB_GCA_902492895_1
ASV2600	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
ASV2601	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister_sp025992895(GB_GCA_025992895_1
ASV2602	Bacteria	Bacillota_A	Clostridia	UBA1381	UBA9506	Congzhengia	Congzhengia_minquanensis(RS_GCF_014384785_1
ASV2603	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas_fastidiosa(RS_GCF_018326305_1
ASV2604	Bacteria	NA	NA	NA	NA	NA	NA
ASV2605	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis(RS_GCF_000012845_1
ASV2606	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_finegoldii(RS_GCF_000265365_1
ASV2607	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA
ASV2608	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_sp900540715(RS_GCF_015550595_1
